GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ex4,com.mycompany.ex4,ApiService,0,19,0,2,0,5,0,4,0,3
ex4,com.mycompany.ex4,Calculator,0,33,0,2,0,8,0,7,0,6
